Taxon	BCD1	BCD2	BCP1	BCP2	BD1	BD4	BP1	BP4	CD1	CD2	CD3	CD4	CD5	CD8	CP1	CP2	CP3	CP4	CP5	CP8
Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.40664522099e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria;Acidobacteria_Gp7;Gp7;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.91343482174e-05	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71644352901e-05	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000174939864422	1.71644352901e-05	0.0	0.0	0.0	0.0	0.000704904652371
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53907134768e-05	4.40664522099e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.37349661054e-05	0.0	0.0	0.0	0.0	0.0	7.42004897232e-05
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53907134768e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Asaccharobacter	0.00125407574618	0.0	0.000994381743151	0.0	0.0	0.0	0.0	0.0	3.53907134768e-05	4.40664522099e-05	5.34330750735e-05	2.33852485852e-05	0.000427899015832	4.37349661054e-05	5.14933058702e-05	0.0	0.000117403044652	0.0	8.11754200828e-05	7.42004897232e-05
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Enterorhabdus	0.000125407574618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.40664522099e-05	0.00016029922522	4.67704971704e-05	0.0	4.37349661054e-05	0.000154479917611	8.32431532506e-05	0.00015653739287	0.000127334465195	0.0	0.000296801958893
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Olsenella	0.0	0.0	4.97190871576e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Other	0.00050163029847	0.0	0.000696067220206	0.0	0.0	0.0	0.0	0.0	0.000318516421291	0.00022033226105	0.000534330750735	0.00233852485852	0.000142633005277	0.000262409796632	0.000703741846893	0.000541080496129	0.000665283919696	0.00165534804754	0.0	0.000445202938339
